"transactTime","symbol","execType","side","lastQty","lastPx","execCost","commission","execComm","ordType","orderQty","leavesQty","price","text","orderID"
"2018/9/19 上午7:09:02","XBTU18","Trade","Buy","1","6373","-15691","0.000675","10","Limit","1","0","6373","Spam
Submitted via API.","0e2bf786-8748-ddac-03a0-c782dbe622f5"
"2018/9/19 上午6:23:50","XBTU18","Trade","Sell","1","6386","15659","0.000675","10","Limit","1","0","6386","Spam
Submitted via API.","94914ff5-9d15-d783-0cd7-908daf816f5a"
"2018/9/19 上午6:15:50","XBTU18","Trade","Sell","1","6373","15691","0.000675","10","Limit","1","0","6373","Spam
Submitted via API.","51c2983c-46f2-775e-3e0f-fdd0ebf90e3d"
"2018/9/19 上午5:41:35","XBTU18","Trade","Sell","1","6361","15721","0.000675","10","Limit","1","0","6361","Spam
Submitted via API.","5a34632d-5717-764e-9123-00a8b9c94214"
"2018/9/19 上午4:59:45","XBTU18","Trade","Buy","1","6347","-15755","0.000675","10","Limit","1","0","6347","Spam
Submitted via API.","46a7fa69-b9a5-3167-c18d-e11ed43f7f74"
"2018/9/19 上午4:53:14","XBTU18","Trade","Sell","1","6360","15723","0.000675","10","Limit","1","0","6360","Spam
Submitted via API.","c9c9b405-1c25-1d15-2c78-1dfcf19fcdc3"
"2018/9/19 上午4:13:01","XBTU18","Trade","Sell","1","6348","15753","0.000675","10","Limit","1","0","6348","Spam
Submitted via API.","54a173b8-8372-9081-3fc7-1c8c239d9280"
"2018/9/19 上午4:04:50","XBTU18","Trade","Buy","1","6334","-15788","0.000675","10","Limit","1","0","6334","Spam
Submitted via API.","74feb28d-7781-e974-1345-7f537feb0af1"
"2018/9/19 上午4:03:14","XBTU18","Trade","Sell","1","6347","15755","0.000675","10","Limit","1","0","6347","Spam
Submitted via API.","c003a04d-a3b0-c459-f7c5-2e3db397812a"
"2018/9/19 上午4:01:30","XBTU18","Trade","Sell","1","6335","15785","0.000675","10","Limit","1","0","6335","Spam
Submitted via API.","a26e2604-9cf4-7c20-2237-3315cfc93e74"
"2018/9/19 上午3:56:50","XBTU18","Trade","Buy","1","6322","-15818","0.000675","10","Limit","1","0","6322","Spam
Submitted via API.","f8800501-a62c-8e98-4c7b-d172035cc7fd"
"2018/9/19 上午3:56:50","XBTU18","Trade","Buy","1","6335","-15785","0.000675","10","Limit","1","0","6335","Spam
Submitted via API.","5b9062b4-4031-4586-a60b-0e4867157cb9"
"2018/9/19 上午3:56:50","XBTU18","Trade","Buy","1","6347","-15755","0.000675","10","Limit","1","0","6347","Spam
Submitted via API.","9a2fa669-d633-ca22-f3c3-73202cbccb12"
"2018/9/19 上午2:30:56","XBTU18","Trade","Sell","1","6361","15721","0.000675","10","Limit","1","0","6361","Spam
Submitted via API.","ad58add0-0a22-374d-7b77-4611c90145a1"
"2018/9/19 上午2:24:02","XBTU18","Trade","Buy","1","6348","-15753","0.000675","10","Limit","1","0","6348","Spam
Submitted via API.","05ea36b4-afaf-db6d-f600-7ba421c16be4"
